10001,Warm Blankets Orphan Care International, 5105 Tollview Drive,http://www.warmblankets.org,3 stars,$3865881
10002,Trenton Area Soup Kitchen, 72 1/2 Escher Street,,4 stars,$3113407
10003,New England Kurn Hattin Homes, 708 Kurn Hattin Road,,3 stars,$3860665
10004,United Way of Central Massachusetts, 484 Main Street,http://www.unitedwaycm.org/,3 stars,$6816108
10005,,,,,
10006,,,,,
10007,Harvard Magazine, Seven Ware Street,http://harvardmagazine.com/,3 stars,$4219147
10008,Coffee Kids, 4043 North Ravenswood Ave.,http://www.coffeekids.org/,2 stars,$975570
10009,Partnership for Public Service, 1100 New York Avenue,http://ourpublicservice.org/OPS/,3 stars,$8579617
10010,,,,,
10011,Skin Cancer Foundation, 149 Madison Avenue,http://www.skincancer.org/,3 stars,$8038183
10012,ELEM/Youth in Distress in Israel, 270 Madison Avenue,http://www.elem.org,2 stars,$1051129
10013,,,,,
10014,New York Cares, 65 Broadway,http://www.newyorkcares.org,4 stars,$14416491
10015,,,,,
10016,,,,,
10017,Madison Square Boys & Girls Club, 317 Madison Avenue,http://www.madisonsquare.org/,3 stars,$6762058
10018,Will Rogers Institute, 10045 Riverside Drive,http://www.wrinstitute.org/,2 stars,$5328789
10019,United Way of Southern Chautauqua County, 413 North Main Street,http://www.uwayscc.org,3 stars,$1093224
10020,Jewish Federation of Monmouth County, 960 Holmdel Road,http://www.jewishmonmouth.org/,2 stars,$2359390
10021,United Methodist Homes of New Jersey Foundation, 3311 State Route 33,http://www.umhfoundation.org/,1 stars,$1271359
10022,,,,,
10023,Good Counsel, 411 Clinton Street,,3 stars,$3813038
10024,,,,,
10025,Jewish Federation of the Lehigh Valley, 702 North 22nd Street,http://www.jewishlehighvalley.org/,3 stars,$3093298
10026,Boys & Girls Clubs of Palm Beach County, 800 Northpoint Parkway,http://www.bgcpbc.org/,4 stars,$10604737
10027,,,,,
10028,,,,,
10029,Greater Hartford Arts Council, 45 Pratt Street,,3 stars,$4185477
10030,Yad L'Achim Peyle Israel, 172 1/2 Lee Avenue,,0 stars,$1069633
10031,,,,,
10032,,,,,
10033,Fort Wayne Public Television, 2501 East Coliseum Boulevard,http://www.wfwa.org,3 stars,$3005896
10034,Special Olympics Florida, 1915 Don Wickham Drive,http://www.sofl.org/,4 stars,$8582294
10035,Senior Neighbors, 820 Monroe Avenue NW,http://www.seniorneighbors.org/,3 stars,$2421337
10036,The Conservation Foundation, 10S404 Knoch Knolls Road,http://www.theconservationfoundation.org/,3 stars,$1340739
10037,,,,,
10038,NRA Special Contribution Fund Whittington Center, P.O. Box 700,http://www.nrawc.org,2 stars,$3384840
10039,Big Oak Ranch, P.O. Box 507,,3 stars,$7697236
10040,,,,,
10041,United Way of the Laurel Highlands, 422 Main Street,http://www.uwlaurel.org/,3 stars,$1376316
10042,,,,,
10043,,,,,
10044,,,,,
10045,,,,,
10046,,,,,
10047,San Diego Second Chance Program, 6145 Imperial Avenue,http://www.secondchanceprogram.org/,4 stars,$3996366
10048,United Way of Greater Lima, 616 South Collett Street,http://www.unitedwaylima.org,3 stars,$1996791
10049,The Nature Center at Shaker Lakes, 2600 South Park Boulevard,http://www.shakerlakes.org/,3 stars,$940222
10050,Hope Ministries Indiana, P.O. Box 4488,http://www.hopesb.org/,2 stars,$1523810
10051,United Way of Bartholomew County, 1531 Thirteenth Street,http://www.uwbarthco.org/,3 stars,$2975953
10052,,,,,
10053,,,,,
10054,MorningStar Mission Ministries, 350 East Washington Street,http://www.morningstarmission.org,2 stars,$6750104
10055,Chicago Foundation for Women, One East Wacker Drive,http://www.cfw.org/,4 stars,$9667255
10056,Urban Ventures Leadership Foundation, 2924 Fourth Avenue South,http://www.urbanventures.org/,3 stars,$3479170
10057,,,,,
10058,Capital Area United Way Michigan, 330 Marshall Street,http://www.micauw.org/,3 stars,$3527139
10059,United Way of Washtenaw County, 2305 Platt Road,http://www.uwwashtenaw.org/,4 stars,$6229733
10060,National Fire Safety Council, P.O. Box 378,http://www.nfsc.org/,1 stars,$2937275
10061,Covenant House Michigan, 2959 Martin Luther King Jr. Boulevard,http://www.covenanthousemi.org/,4 stars,$4907277
10062,,,,,
10063,Special Olympics Minnesota, 100 Washington Avenue South,http://www.specialolympicsminnesota.org/,3 stars,$5407937
10064,Think Small, 10 Yorkton Court,http://www.thinksmall.org/,4 stars,$9674989
10065,,,,,
10066,,,,,
10067,,,,,
10068,reStart Inc., 918 East 9th Street,http://www.restartinc.org/,4 stars,$3660219
10069,Jewish Federation of Greater Kansas City, 5801 West 115th Street,http://www.jewishkansascity.org,3 stars,$6660333
10070,American Academy of Family Physicians Foundation, 11400 Tomahawk Creek Parkway,http://www.aafpfoundation.org/,3 stars,$7210423
10071,,,,,
10072,,,,,
10073,Boys & Girls Clubs of Delaware, 669 South Union Street,http://bgclubs.org/,3 stars,$18160562
10074,,,,,
10075,Center for National Policy, One Massachusetts Avenue NW,http://www.cnponline.org/,3 stars,$1945312
10076,House of Ruth Maryland, 2201 Argonne Drive,http://www.hruth.org/,3 stars,$6742571
10077,Earth Force, 2555 W. 34th Avenue,http://www.earthforce.org/,3 stars,$1654085
10078,,,,,
10079,,,,,
10080,Society for Science & the Public, 1719 N Street NW,http://www.societyforscience.org/,4 stars,$11987435
10081,Population Research Institute, 1190 Progress Drive Suite 2D,http://www.pop.org/,1 stars,$1477544
10082,SPCA of Wake County, 200 Petfinder Lane,http://www.spcawake.org,3 stars,$2104208
10083,Rural Advancement Foundation International-USA, P.O. Box 640,http://www.rafiusa.org/,3 stars,$1831602
10084,The Urban Ministry Center, 945 North College Street,http://www.urbanministrycenter.org/,3 stars,$4089966
10085,Thornwell Home for Children, P.O. Box 60,http://www.thornwell.org/,3 stars,$4789004
10086,Boys and Girls Home of North Carolina, 400 Flemington Drive,http://www.boysandgirlshomesofnc.com/,3 stars,$9286751
10087,,,,,
10088,The Acadiana Outreach Center, 125 South Buchanan Street,http://www.acadianaoutreach.org/,1 stars,$-56435
10089,Right From The Heart Ministries, 1507 Johnson Ferry Road,http://www.rfth.org/,3 stars,$959318
10090,SafeHouse Outreach, 89 Ellis Street NE,,2 stars,$777327
10091,Dikembe Mutombo Foundation, P.O. Box 674227,http://www.dmf.org,3 stars,$724220
10092,Jewish Federation of Sarasota-Manatee, Klingenstein Jewish Center,http://www.smjf.org,3 stars,$4086509
10093,1000 Friends of Florida, 308 North Monroe Street,,3 stars,$608188
10094,United Way of the Big Bend, 307 East Seventh Avenue,http://www.uwbb.org,2 stars,$5104696
10095,Boys & Girls Clubs of Sarasota County, P.O. Box 4068,http://www.boysandgirlsclubs.com/,3 stars,$3454388
10096,Jewish Community of Louisville, 3600 Dutchmans Lane,http://www.jewishlouisville.org,3 stars,$7706622
10097,WTCI, 7540 Bonnyshire Drive,http://wtcitv.org/,3 stars,$2285145
